[2021-12-07 16:21:00,788] - postgres.py - INFO - Succesfully connected to Postgres
[2021-12-07 16:21:00,788] - postgres.py - INFO - Succesfully connected to Postgres
[2021-12-07 16:22:22,316] - postgres.py - INFO - Succesfully connected to Postgres
[2021-12-07 16:22:22,316] - postgres.py - INFO - Succesfully connected to Postgres
[2021-12-07 16:22:22,316] - postgres.py - INFO - Succesfully connected to Postgres
[2021-12-07 16:23:56,630] - postgres.py - INFO - Succesfully connected to Postgres
[2021-12-07 16:23:56,630] - postgres.py - INFO - Succesfully connected to Postgres
[2021-12-07 16:23:56,630] - postgres.py - INFO - Succesfully connected to Postgres
[2021-12-07 16:25:07,210] - postgres.py - INFO - Succesfully connected to Postgres
[2021-12-07 16:25:07,210] - postgres.py - INFO - Succesfully connected to Postgres
[2021-12-07 16:25:07,210] - postgres.py - INFO - Succesfully connected to Postgres
[2021-12-07 16:25:07,210] - postgres.py - WARNING - file path /home/ior/Рабочий стол/flask-fixer/sy4.csv is not correct
[2021-12-07 16:25:07,210] - postgres.py - WARNING - file path /home/ior/Рабочий стол/flask-fixer/sy4.csv is not correct
[2021-12-07 16:25:07,210] - postgres.py - WARNING - file path /home/ior/Рабочий стол/flask-fixer/sy4.csv is not correct
